location,total_sqft,size,area_type,balcony,bath,price
Horamavu Agara,1220.0,2,Super built-up  Area,2.0,2.0,39.0
Electronic City Phase II,1320.0,3,Super built-up  Area,1.0,2.0,38.12
Green Glen Layout,1750.0,3,Super built-up  Area,2.0,3.0,105.0
Whitefield,1436.0,3,Super built-up  Area,3.0,2.0,62.15
Varthur,1560.0,3,Super built-up  Area,2.0,3.0,90.0
Whitefield,3758.0,3,Super built-up  Area,1.0,3.0,300.0
others,1275.0,2,Super built-up  Area,2.0,2.0,59.0
others,1040.0,2,Super built-up  Area,2.0,2.0,36.4
Bellandur,2400.0,3,Super built-up  Area,2.0,3.0,115.0
Chamrajpet,1500.0,6,Plot  Area,3.0,9.0,230.0
Kaggalipura,3150.0,4,Plot  Area,1.0,5.0,212.0
Karuna Nagar,1960.0,3,Super built-up  Area,2.0,3.0,165.0
JP Nagar,3200.0,4,Super built-up  Area,3.0,5.0,309.0
Yelahanka,1765.0,2,Super built-up  Area,0.0,2.0,53.105
Hosakerehalli,4500.0,5,Super built-up  Area,2.0,5.0,145.0
Ulsoor,450.0,3,Plot  Area,1.0,3.0,70.0
others,4304.0,4,Plot  Area,2.0,4.0,699.0
others,648.0,1,Super built-up  Area,1.0,1.0,40.0
Sarjapur  Road,2100.0,3,Super built-up  Area,2.0,3.0,130.0
others,4209.0,4,Super built-up  Area,2.0,4.0,602.0
Kudlu,1027.0,2,Super built-up  Area,1.0,2.0,44.0
Whitefield,1575.0,4,Plot  Area,3.0,4.0,250.0
Bommasandra,1365.0,3,Super built-up  Area,1.0,3.0,52.82
Yelahanka New Town,650.0,1,Super built-up  Area,1.0,1.0,18.0
Chandapura,1200.0,3,Plot  Area,1.0,2.0,52.0
Cooke Town,1100.0,2,Super built-up  Area,3.0,2.0,90.0
7th Phase JP Nagar,1075.0,3,Built-up  Area,1.0,2.0,57.0
Banashankari,1100.0,2,Super built-up  Area,1.0,2.0,63.0
others,1320.0,3,Super built-up  Area,1.0,2.0,58.0
Kammasandra,1500.0,3,Super built-up  Area,2.0,3.0,65.0
others,1200.0,4,Plot  Area,1.0,5.0,150.0
others,1125.0,4,Plot  Area,2.0,3.0,126.0
Bisuvanahalli,1075.0,3,Super built-up  Area,1.0,2.0,32.0
others,1480.0,3,Super built-up  Area,1.0,3.0,75.48
others,500.0,1,Super built-up  Area,1.0,1.0,13.0
others,2400.0,5,Plot  Area,1.0,4.0,325.0
Kaikondrahalli,1200.0,4,Plot  Area,2.0,4.0,125.0
Kanakpura Road,1041.0,2,Super built-up  Area,1.0,2.0,36.44
others,1128.0,2,Super built-up  Area,2.0,2.0,48.4
Hosur Road,1685.0,3,Super built-up  Area,1.0,3.0,90.0
others,1180.0,2,Super built-up  Area,2.0,2.0,65.0
others,1200.0,2,Built-up  Area,1.0,2.0,60.0
others,1250.0,3,Super built-up  Area,2.0,3.0,39.5
others,1000.0,2,Built-up  Area,1.0,2.0,45.0
Yelahanka New Town,600.0,2,Built-up  Area,2.0,2.0,80.0
2nd Stage Nagarbhavi,600.0,4,Plot  Area,2.0,3.0,82.0
Vittasandra,1404.0,2,Super built-up  Area,1.0,2.0,70.0
Varthur,1760.0,2,Super built-up  Area,1.0,2.0,85.0
others,975.0,2,Super built-up  Area,1.0,2.0,55.0
others,1190.0,2,Built-up  Area,2.0,2.0,42.0
Kudlu,1110.0,2,Built-up  Area,1.0,2.0,46.0
Rajaji Nagar,2415.0,3,Super built-up  Area,2.0,3.0,399.0
Gunjur,1235.0,2,Super built-up  Area,2.0,2.0,44.5
others,1275.0,2,Super built-up  Area,3.0,2.0,55.0
others,1115.0,2,Built-up  Area,1.0,2.0,115.0
Harlur,1197.0,2,Super built-up  Area,1.0,2.0,76.0
Begur Road,644.0,1,Super built-up  Area,1.0,1.0,32.0
Bellandur,1251.0,2,Super built-up  Area,3.0,2.0,47.0
Neeladri Nagar,1105.0,2,Super built-up  Area,2.0,2.0,30.0
others,1080.0,2,Super built-up  Area,2.0,2.0,38.0
Kudlu,2100.0,4,Super built-up  Area,1.0,3.0,114.0
Kammanahalli,1600.0,4,Plot  Area,1.0,4.0,200.0
NRI Layout,1731.0,3,Super built-up  Area,3.0,3.0,64.11
Hormavu,1206.0,2,Super built-up  Area,1.0,2.0,55.0
Choodasandra,1560.0,3,Super built-up  Area,2.0,3.0,78.0
7th Phase JP Nagar,750.0,1,Super built-up  Area,2.0,1.0,47.0
Billekahalli,1035.0,2,Built-up  Area,2.0,2.0,90.0
Ramamurthy Nagar,1200.0,7,Plot  Area,2.0,6.0,150.0
Sarjapur  Road,702.0,1,Super built-up  Area,0.0,1.0,35.8
Attibele,1700.0,3,Plot  Area,1.0,3.0,65.0
HRBR Layout,1145.0,2,Super built-up  Area,2.0,2.0,68.5
Ramamurthy Nagar,1208.0,3,Super built-up  Area,2.0,2.0,43.5
Brookefield,1589.0,3,Super built-up  Area,2.0,3.0,74.0
others,560.0,2,Built-up  Area,1.0,2.0,22.0
Yelahanka New Town,1426.0,3,Super built-up  Area,2.0,2.0,61.5
Green Glen Layout,1885.0,3,Super built-up  Area,2.0,3.0,135.0
Old Madras Road,935.0,2,Super built-up  Area,0.0,2.0,37.77
Old Madras Road,1171.0,2,Super built-up  Area,2.0,2.0,73.0
Singasandra,1465.0,2,Super built-up  Area,3.0,2.0,60.0
Budigere,1820.0,3,Super built-up  Area,2.0,3.0,95.0
Raja Rajeshwari Nagar,1580.0,3,Super built-up  Area,2.0,2.0,66.85
Whitefield,1452.0,3,Super built-up  Area,2.0,2.0,46.29
Hennur Road,1445.0,3,Super built-up  Area,1.0,2.0,89.56
others,1170.0,2,Super built-up  Area,1.0,2.0,39.0
others,1070.0,2,Super built-up  Area,1.0,2.0,50.0
Rachenahalli,2600.0,3,Built-up  Area,2.0,3.0,160.0
others,1532.0,3,Super built-up  Area,2.0,3.0,59.75
others,1150.0,2,Super built-up  Area,1.0,2.0,46.0
Jakkur,1473.0,2,Super built-up  Area,1.0,2.0,85.0
Kathriguppe,1350.0,3,Super built-up  Area,2.0,3.0,80.99
Prithvi Layout,4040.0,4,Super built-up  Area,0.0,4.0,500.0
CV Raman Nagar,1980.0,3,Super built-up  Area,2.0,4.0,166.0
Hoodi,1660.0,3,Super built-up  Area,2.0,3.0,128.0
Kogilu,2456.0,7,Plot  Area,2.0,7.0,85.0
Chamrajpet,650.0,2,Super built-up  Area,2.0,2.0,45.0
Neeladri Nagar,4000.0,5,Plot  Area,2.0,5.0,425.0
Malleshwaram,2475.0,3,Super built-up  Area,3.0,4.0,340.0
others,1495.0,3,Super built-up  Area,2.0,3.0,90.0
R.T. Nagar,1080.0,2,Super built-up  Area,1.0,2.0,48.0
Electronic City,1521.0,3,Super built-up  Area,2.0,2.0,57.5
others,1053.0,2,Built-up  Area,0.0,2.0,51.0
Binny Pete,2406.0,3,Super built-up  Area,2.0,5.0,289.0
Kanakpura Road,800.0,4,Plot  Area,3.0,5.0,115.0
Begur,2400.0,3,Built-up  Area,2.0,3.0,12.0
others,1250.0,3,Super built-up  Area,2.0,3.0,39.0
others,1200.0,4,Plot  Area,1.0,2.0,75.0
Ulsoor,840.0,1,Built-up  Area,1.0,1.0,150.0
Uttarahalli,1000.0,2,Super built-up  Area,2.0,2.0,39.5
Bannerghatta Road,1630.0,3,Super built-up  Area,3.0,3.0,68.0
Kammasandra,985.0,2,Super built-up  Area,1.0,2.0,40.5
BTM 2nd Stage,1200.0,2,Super built-up  Area,2.0,2.0,70.0
Ambalipura,1650.0,3,Built-up  Area,3.0,3.0,100.0
Mico Layout,1670.0,3,Super built-up  Area,2.0,3.0,59.0
Sarjapur  Road,1240.0,4,Plot  Area,0.0,4.0,110.0
others,1000.0,2,Built-up  Area,2.0,2.0,60.0
others,830.0,2,Super built-up  Area,2.0,2.0,26.0
Ramagondanahalli,1200.0,3,Plot  Area,1.0,3.0,56.1
others,9600.0,5,Plot  Area,2.0,7.0,2736.0
Begur Road,3700.0,4,Super built-up  Area,0.0,6.0,122.5
Nagarbhavi,1635.0,3,Super built-up  Area,3.0,3.0,85.0
HSR Layout,1120.0,2,Built-up  Area,1.0,2.0,70.0
others,2750.0,6,Plot  Area,3.0,6.0,200.0
Sector 7 HSR Layout,1760.0,3,Super built-up  Area,2.0,3.0,185.0
Harlur,2137.0,3,Super built-up  Area,2.0,3.0,110.0
Hennur Road,973.0,2,Super built-up  Area,1.0,2.0,50.74
others,1200.0,4,Plot  Area,3.0,4.0,375.0
Electronic City,750.0,1,Super built-up  Area,1.0,1.0,35.0
Kambipura,883.0,2,Super built-up  Area,1.0,2.0,49.0
others,660.0,2,Built-up  Area,0.0,2.0,76.0
Ramagondanahalli,2787.0,4,Super built-up  Area,2.0,5.0,220.0
others,1470.0,3,Built-up  Area,3.0,2.0,60.0
Electronics City Phase 1,891.0,2,Super built-up  Area,1.0,2.0,24.95
others,1275.0,2,Built-up  Area,1.0,2.0,76.0
Kothanur,1787.0,3,Super built-up  Area,2.0,3.0,120.0
8th Phase JP Nagar,1730.0,5,Built-up  Area,2.0,5.0,75.0
Sarjapur  Road,1320.0,2,Super built-up  Area,2.0,2.0,110.0
Yeshwanthpur,1692.0,3,Super built-up  Area,3.0,3.0,108.0
Bannerghatta Road,1400.0,3,Super built-up  Area,2.0,3.0,69.0
Whitefield,1370.0,2,Super built-up  Area,2.0,2.0,56.0
others,1602.0,3,Super built-up  Area,2.0,3.0,56.0
others,793.0,1,Built-up  Area,1.0,1.0,40.0
GM Palaya,675.0,1,Super built-up  Area,1.0,1.0,35.0
Chikka Tirupathi,3250.0,4,Built-up  Area,2.0,4.0,136.0
Whitefield,1050.0,2,Super built-up  Area,3.0,2.0,43.0
Jalahalli East,1035.0,2,Built-up  Area,1.0,2.0,42.5
Sarjapur  Road,1200.0,3,Super built-up  Area,2.0,2.0,44.0
Sarjapur  Road,1800.0,3,Super built-up  Area,2.0,3.0,128.0
Green Glen Layout,1625.0,3,Built-up  Area,2.0,3.0,70.0
Electronics City Phase 1,1032.0,2,Super built-up  Area,1.0,2.0,31.99
Whitefield,1496.0,3,Super built-up  Area,1.0,2.0,71.81
others,1100.0,2,Super built-up  Area,2.0,2.0,38.0
Kundalahalli,1500.0,3,Built-up  Area,2.0,3.0,50.0
Electronic City Phase II,1125.0,2,Built-up  Area,1.0,2.0,32.63
others,1555.0,3,Super built-up  Area,3.0,3.0,73.0
Amruthahalli,1025.0,2,Super built-up  Area,1.0,2.0,42.0
Hennur Road,1482.0,3,Super built-up  Area,1.0,2.0,83.73
others,1630.0,3,Super built-up  Area,2.0,2.0,130.0
Arekere,900.0,2,Super built-up  Area,1.0,2.0,44.5
Yelahanka,1355.0,3,Super built-up  Area,3.0,2.0,75.0
others,2360.0,4,Plot  Area,2.0,4.0,601.0
Akshaya Nagar,1200.0,2,Built-up  Area,2.0,2.0,45.0
others,1563.0,3,Super built-up  Area,2.0,3.0,63.0
others,1344.0,4,Plot  Area,1.0,4.0,84.0
others,3000.0,3,Super built-up  Area,2.0,3.0,400.0
5th Phase JP Nagar,812.0,2,Super built-up  Area,1.0,2.0,42.0
Basaveshwara Nagar,1200.0,2,Built-up  Area,1.0,2.0,70.0
Yelahanka,3175.0,4,Super built-up  Area,1.0,4.0,156.0
Marathahalli,1360.0,2,Super built-up  Area,1.0,2.0,101.0
Rachenahalli,1756.0,3,Built-up  Area,2.0,3.0,110.0
8th Phase JP Nagar,1296.0,3,Super built-up  Area,2.0,2.0,51.83
Haralur Road,1300.0,2,Super built-up  Area,1.0,2.0,75.0
Anandapura,1141.0,2,Super built-up  Area,1.0,2.0,50.0
Electronic City,1210.0,2,Built-up  Area,1.0,2.0,55.0
Hormavu,1310.0,2,Super built-up  Area,2.0,2.0,67.0
others,1356.0,5,Plot  Area,2.0,5.0,139.0
Magadi Road,1713.0,3,Super built-up  Area,0.0,2.0,55.195
Gubbalala,1745.0,3,Super built-up  Area,2.0,3.0,140.0
KR Puram,1200.0,5,Plot  Area,1.0,5.0,125.0
Raja Rajeshwari Nagar,1050.0,2,Super built-up  Area,2.0,2.0,37.0
Banashankari,2400.0,4,Plot  Area,3.0,4.0,500.0
Electronic City Phase II,1140.0,2,Super built-up  Area,1.0,2.0,34.0
Varthur,1210.0,2,Super built-up  Area,2.0,2.0,54.0
Kasavanhalli,2035.0,3,Super built-up  Area,2.0,3.0,142.0
Sarjapur,633.0,1,Super built-up  Area,1.0,1.0,17.09
Amruthahalli,485.0,1,Built-up  Area,1.0,1.0,19.5
others,1200.0,2,Plot  Area,0.0,2.0,82.0
Sarjapur  Road,2275.0,3,Super built-up  Area,2.0,4.0,187.0
others,1419.0,3,Super built-up  Area,2.0,3.0,85.0
others,2020.0,3,Built-up  Area,3.0,3.0,270.0
Kundalahalli,1047.0,2,Super built-up  Area,2.0,2.0,91.0
Thanisandra,1884.0,3,Super built-up  Area,2.0,4.0,117.0
Malleshpalya,1200.0,3,Plot  Area,2.0,3.0,149.0
Bannerghatta Road,905.0,2,Super built-up  Area,1.0,2.0,58.0
JP Nagar,1500.0,3,Super built-up  Area,1.0,2.0,108.0
others,850.0,1,Built-up  Area,0.0,1.0,50.0
Tindlu,1165.0,2,Built-up  Area,2.0,2.0,59.8
others,933.0,2,Built-up  Area,0.0,2.0,55.0
Hennur Road,1305.0,3,Super built-up  Area,1.0,2.0,77.0
Billekahalli,1125.0,2,Super built-up  Area,1.0,2.0,65.0
others,865.0,2,Super built-up  Area,2.0,2.0,33.0
Jigani,1245.0,3,Super built-up  Area,3.0,3.0,66.0
Kalyan nagar,8840.0,2,Super built-up  Area,3.0,2.0,300.0
others,1145.0,3,Super built-up  Area,2.0,2.0,60.0
AECS Layout,2000.0,3,Built-up  Area,1.0,3.0,90.0
Hosa Road,625.0,1,Super built-up  Area,1.0,1.0,43.68
Kundalahalli,1724.0,3,Super built-up  Area,2.0,3.0,128.0
others,400.0,1,Plot  Area,1.0,1.0,75.0
Sarjapur  Road,1270.0,3,Super built-up  Area,1.0,2.0,54.0
others,1250.0,3,Super built-up  Area,2.0,3.0,39.5
Jakkur,1485.0,3,Super built-up  Area,2.0,3.0,72.0
others,823.0,2,Super built-up  Area,1.0,2.0,80.0
7th Phase JP Nagar,990.0,2,Super built-up  Area,2.0,2.0,50.0
Kadubeesanahalli,1140.0,2,Super built-up  Area,1.0,2.0,78.0
Yelahanka,1756.0,3,Super built-up  Area,2.0,3.0,125.0
Kumaraswami Layout,2600.0,4,Built-up  Area,2.0,4.0,300.0
others,1025.0,2,Built-up  Area,1.0,2.0,48.0
Whitefield,1216.0,2,Built-up  Area,1.0,2.0,72.0
Sarjapur  Road,1026.0,2,Super built-up  Area,2.0,2.0,60.8
Sarjapur  Road,3335.0,4,Super built-up  Area,3.0,4.0,300.0
Kodichikkanahalli,2700.0,5,Built-up  Area,2.0,4.0,125.0
Begur,1411.0,3,Super built-up  Area,2.0,2.0,60.0
Kanakpura Road,1320.0,3,Super built-up  Area,1.0,2.0,39.6
Bannerghatta,1320.0,2,Built-up  Area,0.0,2.0,50.0
OMBR Layout,615.0,4,Plot  Area,2.0,4.0,110.0
Kalena Agrahara,1804.0,3,Super built-up  Area,2.0,3.0,155.0
Banjara Layout,1200.0,4,Plot  Area,1.0,4.0,105.0
Hebbal,2375.0,4,Super built-up  Area,2.0,4.0,189.0
others,1750.0,3,Plot  Area,2.0,3.0,120.0
others,960.0,9,Plot  Area,2.0,5.0,130.0
TC Palaya,1152.0,2,Super built-up  Area,2.0,2.0,55.0
Thanisandra,965.0,2,Super built-up  Area,1.0,2.0,54.0
Lingadheeranahalli,1684.0,3,Super built-up  Area,1.0,3.0,120.0
Hennur Road,1672.0,3,Super built-up  Area,2.0,3.0,86.0
Panathur,1075.0,2,Super built-up  Area,2.0,2.0,60.0
Sarjapur,1500.0,3,Plot  Area,2.0,5.0,95.0
Hebbal,1420.0,2,Super built-up  Area,1.0,2.0,99.26
others,750.0,2,Super built-up  Area,0.0,2.0,40.0
Yeshwanthpur,1169.0,2,Super built-up  Area,2.0,2.0,64.08
Devanahalli,1290.0,3,Super built-up  Area,1.0,2.0,62.0
Kengeri,1160.0,2,Super built-up  Area,2.0,2.0,40.6
Shampura,2800.0,7,Built-up  Area,3.0,5.0,95.0
Mysore Road,1500.0,3,Super built-up  Area,2.0,3.0,70.0
Domlur,1850.0,3,Super built-up  Area,1.0,3.0,180.0
others,1300.0,3,Super built-up  Area,2.0,3.0,46.0
Electronic City Phase II,1310.0,3,Super built-up  Area,1.0,2.0,37.84
others,2750.0,3,Built-up  Area,2.0,5.0,550.0
others,2150.0,3,Super built-up  Area,0.0,3.0,170.0
others,5100.0,6,Built-up  Area,3.0,5.0,300.0
Kadugodi,1875.0,3,Plot  Area,1.0,2.0,110.0
Hulimavu,1260.0,3,Super built-up  Area,1.0,2.0,82.0
Kengeri,2500.0,5,Built-up  Area,3.0,4.0,100.0
Begur Road,1241.0,2,Super built-up  Area,1.0,2.0,64.0
Sarjapur  Road,1025.0,2,Super built-up  Area,2.0,2.0,45.5
others,1500.0,2,Plot  Area,0.0,1.0,218.0
Electronic City,1070.0,2,Built-up  Area,1.0,2.0,60.0
Begur,815.0,2,Super built-up  Area,1.0,2.0,40.0
Kanakpura Road,2000.0,3,Built-up  Area,3.0,3.0,105.0
Malleshwaram,1400.0,2,Super built-up  Area,1.0,2.0,190.0
Varthur,1740.0,4,Plot  Area,3.0,4.0,175.0
others,8500.5,4,Super built-up  Area,0.0,5.0,300.0
Sarjapur  Road,1216.0,2,Built-up  Area,2.0,2.0,70.0
others,2200.0,3,Super built-up  Area,1.0,2.0,190.0
Hegde Nagar,3500.0,4,Plot  Area,2.0,5.0,450.0
Shampura,970.0,6,Plot  Area,3.0,6.0,105.0
Vidyaranyapura,3150.0,7,Plot  Area,3.0,7.0,375.0
Kanakpura Road,1200.0,2,Plot  Area,0.0,2.0,62.0
Marathahalli,1026.0,2,Super built-up  Area,1.0,2.0,50.18
Hulimavu,450.0,1,Built-up  Area,1.0,1.0,20.0
KR Puram,1205.0,2,Super built-up  Area,1.0,2.0,45.79
others,1368.0,2,Super built-up  Area,3.0,2.0,87.0
Anekal,420.0,1,Built-up  Area,1.0,1.0,12.5
others,1270.0,2,Built-up  Area,2.0,2.0,42.0
Anekal,614.0,2,Super built-up  Area,1.0,1.0,28.0
Margondanahalli,1050.0,2,Plot  Area,0.0,2.0,58.0
Yelahanka,1408.0,2,Super built-up  Area,2.0,2.0,58.0
others,1507.0,3,Built-up  Area,1.0,3.0,80.0
others,1160.0,2,Super built-up  Area,2.0,2.0,57.0
others,1200.0,3,Plot  Area,1.0,3.0,70.0
Poorna Pragna Layout,960.0,2,Built-up  Area,3.0,2.0,50.0
NGR Layout,1021.0,2,Super built-up  Area,2.0,2.0,46.0
Hegde Nagar,2162.03,3,Super built-up  Area,2.0,4.0,129.0
Channasandra,1065.0,2,Super built-up  Area,1.0,2.0,36.0
Attibele,400.0,1,Super built-up  Area,1.0,1.0,10.25
Bannerghatta Road,1465.0,3,Super built-up  Area,1.0,2.0,75.0
Marathahalli,1800.0,3,Super built-up  Area,2.0,3.0,95.0
others,1175.0,2,Super built-up  Area,2.0,2.0,83.0
Vijayanagar,1500.0,4,Plot  Area,1.0,4.0,360.0
Sanjay nagar,1050.0,2,Super built-up  Area,0.0,2.0,59.0
Electronic City Phase II,1400.0,3,Built-up  Area,2.0,2.0,40.43
Indira Nagar,1650.0,3,Super built-up  Area,1.0,3.0,150.0
KR Puram,1827.0,3,Super built-up  Area,2.0,3.0,97.0
Thanisandra,1930.0,3,Super built-up  Area,2.0,4.0,122.0
Mysore Road,883.0,2,Super built-up  Area,1.0,2.0,37.0
Kengeri,550.0,1,Built-up  Area,1.0,1.0,16.75
others,1350.0,4,Plot  Area,1.0,4.0,310.0
Kanakapura,1290.0,3,Super built-up  Area,3.0,2.0,38.69
Raja Rajeshwari Nagar,1021.0,3,Built-up  Area,2.0,3.0,59.0
Whitefield,1158.0,2,Super built-up  Area,1.0,2.0,55.0
others,1200.0,5,Plot  Area,1.0,4.0,99.0
Nagarbhavi,1400.0,3,Super built-up  Area,2.0,2.0,135.0
others,2400.0,4,Plot  Area,0.0,3.0,200.0
Munnekollal,1200.0,3,Super built-up  Area,1.0,2.0,57.9
JP Nagar,1520.0,3,Built-up  Area,2.0,3.0,125.0
Thanisandra,1087.0,1,Super built-up  Area,0.0,1.0,38.46
EPIP Zone,2710.0,3,Super built-up  Area,2.0,3.0,177.0
Kenchenahalli,1150.0,2,Super built-up  Area,2.0,2.0,57.0
Yelahanka,1101.0,2,Super built-up  Area,2.0,2.0,37.0
Mahalakshmi Layout,1200.0,3,Super built-up  Area,3.0,2.0,110.0
Hebbal,1252.0,2,Super built-up  Area,1.0,2.0,92.0
Marathahalli,1650.0,3,Super built-up  Area,2.0,3.0,85.0
Marathahalli,1270.0,2,Built-up  Area,2.0,2.0,80.0
Tumkur Road,992.0,2,Super built-up  Area,1.0,2.0,70.0
others,893.0,2,Super built-up  Area,2.0,2.0,34.5
Bisuvanahalli,1075.0,3,Built-up  Area,1.0,2.0,41.49
Kumaraswami Layout,3200.0,7,Built-up  Area,0.0,7.0,150.0
Electronic City,1190.0,2,Super built-up  Area,1.0,2.0,42.0
others,800.0,3,Built-up  Area,0.0,2.0,60.0
Sarjapur  Road,1814.0,3,Super built-up  Area,3.0,3.0,63.0
others,1400.0,3,Built-up  Area,2.0,3.0,98.0
Bommasandra,1400.0,5,Plot  Area,3.0,6.0,252.0
Murugeshpalya,1344.0,3,Super built-up  Area,0.0,2.0,56.0
Whitefield,5400.0,4,Plot  Area,3.0,5.0,475.0
Kanakpura Road,1843.0,3,Super built-up  Area,2.0,3.0,95.0
others,1138.0,2,Super built-up  Area,1.0,2.0,32.0
others,1495.0,3,Built-up  Area,2.0,2.0,70.0
Electronic City,880.0,2,Super built-up  Area,1.0,2.0,19.0
Whitefield,1396.0,3,Super built-up  Area,1.0,3.0,74.0
Garudachar Palya,1610.0,3,Built-up  Area,3.0,2.0,119.0
Tindlu,1050.0,2,Super built-up  Area,2.0,2.0,55.0
others,1410.0,3,Built-up  Area,2.0,2.0,43.71
Ramamurthy Nagar,1050.0,2,Super built-up  Area,2.0,2.0,37.8
Kumaraswami Layout,1310.0,3,Built-up  Area,1.0,2.0,85.0
Yelahanka,1104.0,2,Super built-up  Area,2.0,2.0,58.0
Hennur Road,1165.0,2,Super built-up  Area,1.0,2.0,67.0
Hormavu,1310.0,2,Super built-up  Area,3.0,2.0,60.0
others,1052.0,2,Built-up  Area,2.0,2.0,52.0
others,1000.0,2,Super built-up  Area,2.0,2.0,45.0
others,2240.0,3,Super built-up  Area,2.0,3.0,300.0
Electronic City,1150.0,2,Super built-up  Area,1.0,2.0,38.08
Thanisandra,2019.0,3,Super built-up  Area,1.0,3.0,70.67
Varthur,986.0,2,Super built-up  Area,1.0,2.0,31.0
Banashankari Stage III,1350.0,1,Plot  Area,1.0,1.0,145.0
Akshaya Nagar,1893.0,3,Super built-up  Area,2.0,4.0,95.0
Gollarapalya Hosahalli,1318.0,3,Super built-up  Area,2.0,3.0,56.0
Yelahanka,1325.0,3,Built-up  Area,2.0,2.0,58.0
Kereguddadahalli,800.0,2,Built-up  Area,1.0,2.0,33.0
others,1300.0,3,Super built-up  Area,2.0,3.0,42.25
others,1300.0,3,Built-up  Area,2.0,2.0,60.0
Ulsoor,2500.0,4,Built-up  Area,0.0,4.0,170.0
others,1520.0,3,Plot  Area,1.0,3.0,165.0
Harlur,1197.0,2,Super built-up  Area,1.0,2.0,75.0
others,1050.0,2,Super built-up  Area,2.0,2.0,45.0
others,910.0,5,Plot  Area,2.0,4.0,194.0
Thanisandra,1241.0,3,Super built-up  Area,1.0,2.0,68.0
others,1567.0,3,Super built-up  Area,3.0,2.0,62.0
Kasavanhalli,1747.0,3,Super built-up  Area,1.0,3.0,110.0
Ramagondanahalli,1475.0,3,Super built-up  Area,2.0,2.0,55.0
others,600.0,4,Plot  Area,1.0,4.0,70.0
others,1524.0,3,Plot  Area,2.0,4.0,400.0
Hennur Road,980.0,2,Super built-up  Area,1.0,2.0,51.0
Dasanapura,966.0,2,Super built-up  Area,1.0,2.0,58.0
others,2360.0,4,Super built-up  Area,2.0,3.0,185.0
Sarjapur  Road,1112.0,2,Super built-up  Area,1.0,2.0,62.0
Electronic City,550.0,2,Super built-up  Area,1.0,1.0,16.0
others,1760.0,3,Built-up  Area,3.0,3.0,90.0
Hennur,1830.0,3,Super built-up  Area,3.0,2.0,113.0
Yelahanka,1175.0,2,Super built-up  Area,1.0,2.0,67.77
Whitefield,1175.0,2,Super built-up  Area,1.0,2.0,41.0
Horamavu Banaswadi,1025.0,2,Super built-up  Area,2.0,2.0,45.0
Hennur Road,1232.0,2,Super built-up  Area,1.0,2.0,80.0
5th Phase JP Nagar,1010.0,2,Built-up  Area,2.0,2.0,57.0
Sarjapur  Road,1273.0,2,Super built-up  Area,2.0,2.0,60.0
Battarahalli,1590.0,2,Super built-up  Area,2.0,2.0,102.0
others,1100.0,2,Super built-up  Area,1.0,2.0,58.5
Electronic City Phase II,1252.0,3,Super built-up  Area,1.0,2.0,65.0
1st Phase JP Nagar,2615.0,4,Super built-up  Area,3.0,5.0,222.0
Yelahanka,1322.0,2,Super built-up  Area,1.0,2.0,77.9
7th Phase JP Nagar,1000.0,1,Plot  Area,1.0,1.0,60.0
Harlur,1755.0,3,Super built-up  Area,2.0,3.0,117.0
Electronic City Phase II,1135.0,2,Super built-up  Area,2.0,2.0,46.0
Rajaji Nagar,1200.0,8,Plot  Area,2.0,10.0,180.0
Electronic City,1200.0,4,Plot  Area,1.0,4.0,125.0
Nagavarapalya,1260.0,2,Super built-up  Area,2.0,2.0,85.5
Hoodi,3250.0,5,Plot  Area,2.0,5.0,395.0
Ambedkar Nagar,3500.0,4,Plot  Area,2.0,4.0,550.0
others,1200.0,5,Plot  Area,2.0,6.0,110.0
Kanakpura Road,1100.0,3,Super built-up  Area,1.0,2.0,53.0
Electronic City Phase II,1305.0,3,Super built-up  Area,1.0,3.0,65.0
others,1236.0,2,Built-up  Area,1.0,2.0,50.0
Uttarahalli,1125.0,2,Built-up  Area,2.0,1.0,45.0
KR Puram,1075.0,2,Built-up  Area,2.0,2.0,32.25
others,772.0,8,Plot  Area,1.0,5.0,60.0
Thanisandra,2999.97,6,Built-up  Area,0.0,6.0,110.0
Kadugodi,1150.0,2,Super built-up  Area,2.0,2.0,42.0
others,1440.0,4,Plot  Area,1.0,4.0,240.0
Hennur Road,1085.0,2,Super built-up  Area,1.0,2.0,43.4
Hebbal Kempapura,1785.0,3,Built-up  Area,0.0,3.0,165.0
Thanisandra,1930.0,3,Super built-up  Area,2.0,4.0,120.0
others,600.0,2,Super built-up  Area,1.0,4.0,70.0
others,800.0,2,Plot  Area,0.0,1.0,45.0
Kumaraswami Layout,2450.0,4,Built-up  Area,2.0,3.0,110.0
others,1200.0,4,Plot  Area,0.0,4.0,120.0
Bannerghatta Road,1920.0,3,Super built-up  Area,3.0,3.0,122.0
Kothannur,1085.0,2,Super built-up  Area,2.0,2.0,34.2
Thanisandra,760.0,1,Super built-up  Area,2.0,1.0,50.4
Sahakara Nagar,1201.0,2,Built-up  Area,3.0,2.0,80.0
Electronic City,1615.0,3,Super built-up  Area,2.0,3.0,97.0
Kasavanhalli,1377.0,2,Super built-up  Area,2.0,2.0,80.0
Cunningham Road,2880.0,3,Super built-up  Area,2.0,3.0,560.0
others,1892.0,3,Plot  Area,2.0,3.0,200.0
Shivaji Nagar,2176.0,3,Built-up  Area,3.0,3.0,348.0
Thanisandra,663.0,1,Super built-up  Area,0.0,1.0,32.82
Electronic City,1165.0,2,Built-up  Area,1.0,2.0,33.65
