area_type,balcony,location,size,total_sqft,bath,price
Super built-up  Area,2.0,Varthur Road,2,1050.0,2.0,42.7
Super built-up  Area,2.0,Varthur Road,2,1255.0,2.0,52.76
Super built-up  Area,2.0,Varthur Road,2,1033.0,2.0,32.0
Super built-up  Area,2.0,Varthur Road,2,1140.0,2.0,49.11
Super built-up  Area,1.0,Varthur Road,2,850.0,2.0,25.4
Plot  Area,0.0,Vidyaranyapura,2,1440.0,2.0,95.0
Super built-up  Area,3.0,Vidyaranyapura,2,1062.0,2.0,38.0
Built-up  Area,2.0,Vidyaranyapura,2,1200.0,2.0,55.0
Built-up  Area,2.0,Vidyaranyapura,2,1060.0,2.0,55.0
Super built-up  Area,1.0,Vidyaranyapura,2,1100.0,2.0,54.0
Built-up  Area,0.0,Vidyaranyapura,3,1440.0,2.0,70.0
Super built-up  Area,1.0,Vidyaranyapura,2,1000.0,2.0,35.0
Built-up  Area,1.0,Vidyaranyapura,2,1120.0,2.0,70.0
Super built-up  Area,2.0,Vidyaranyapura,3,1200.0,2.0,65.0
Built-up  Area,2.0,Vidyaranyapura,2,1200.0,2.0,52.0
Built-up  Area,1.0,Vidyaranyapura,2,1050.0,2.0,50.0
Super built-up  Area,1.0,Vidyaranyapura,2,1188.0,2.0,50.0
Super built-up  Area,1.0,Vidyaranyapura,3,1100.0,2.0,75.0
Super built-up  Area,2.0,Vidyaranyapura,3,1100.0,2.0,72.0
Built-up  Area,1.0,Vidyaranyapura,4,2400.0,5.0,135.0
Super built-up  Area,1.0,Vidyaranyapura,2,1100.0,2.0,41.0
Super built-up  Area,2.0,Vidyaranyapura,2,1200.0,2.0,60.5
Super built-up  Area,1.0,Vidyaranyapura,2,1200.0,2.0,42.0
Super built-up  Area,2.0,Vijayanagar,3,1704.0,3.0,110.0
Super built-up  Area,1.0,Vijayanagar,3,1933.0,3.0,129.0
Super built-up  Area,0.0,Vijayanagar,3,1450.0,3.0,100.0
Built-up  Area,0.0,Vijayanagar,3,1580.0,2.0,134.0
Super built-up  Area,2.0,Vijayanagar,3,1826.0,3.0,121.0
Super built-up  Area,1.0,Vijayanagar,3,1739.0,3.0,116.0
Super built-up  Area,2.0,Vijayanagar,3,1490.0,3.0,100.0
Super built-up  Area,2.0,Vijayanagar,2,1180.0,2.0,65.0
Super built-up  Area,0.0,Vijayanagar,1,606.0,1.0,34.78
Super built-up  Area,2.0,Vijayanagar,2,1352.0,2.0,68.0
Super built-up  Area,2.0,Vijayanagar,3,1527.0,3.0,115.0
Built-up  Area,0.0,Vijayanagar,2,989.0,2.0,60.0
Super built-up  Area,1.0,Vijayanagar,3,1520.0,2.0,103.0
Super built-up  Area,1.0,Vijayanagar,3,1749.0,3.0,117.0
Super built-up  Area,1.0,Vijayanagar,2,1046.0,2.0,75.0
Super built-up  Area,1.0,Vijayanagar,1,606.0,1.0,40.0
Super built-up  Area,2.0,Vijayanagar,2,1200.0,2.0,62.0
Super built-up  Area,2.0,Vijayanagar,3,2047.0,3.0,136.0
Super built-up  Area,1.0,Vijayanagar,3,1200.0,2.0,75.0
Super built-up  Area,3.0,Vijayanagar,2,1178.0,2.0,82.0
Built-up  Area,0.0,Vijayanagar,2,864.0,2.0,45.0
Super built-up  Area,2.0,Vijayanagar,2,920.0,2.0,60.0
Super built-up  Area,1.0,Vijayanagar,2,1019.0,2.0,58.0
Plot  Area,3.0,Vijayanagar,5,2400.0,6.0,125.0
Super built-up  Area,1.0,Vijayanagar,2,1180.0,2.0,86.0
Super built-up  Area,0.0,Vijayanagar,2,1046.0,2.0,49.06
Built-up  Area,0.0,Vijayanagar,1,2400.0,2.0,230.0
Super built-up  Area,1.0,Vijayanagar,1,492.0,1.0,40.0
Plot  Area,1.0,Vishveshwarya Layout,1,750.0,1.0,30.0
Super built-up  Area,0.0,Vishveshwarya Layout,6,2100.0,6.0,92.0
Plot  Area,0.0,Vishveshwarya Layout,4,2000.0,3.0,90.0
Super built-up  Area,1.0,Vishwapriya Layout,2,820.0,2.0,30.0
Super built-up  Area,2.0,Vishwapriya Layout,2,770.0,2.0,30.0
Super built-up  Area,3.0,Vishwapriya Layout,2,910.0,2.0,36.0
Super built-up  Area,3.0,Vishwapriya Layout,2,890.0,2.0,37.0
Super built-up  Area,1.0,Vittasandra,2,1404.0,2.0,71.0
Super built-up  Area,1.0,Vittasandra,2,1246.0,2.0,67.0
Super built-up  Area,1.0,Vittasandra,2,1404.0,2.0,69.3
Super built-up  Area,1.0,Vittasandra,2,1246.0,2.0,67.3
Super built-up  Area,1.0,Vittasandra,2,1246.0,2.0,64.5
Super built-up  Area,1.0,Vittasandra,2,1246.0,2.0,68.0
Super built-up  Area,1.0,Vittasandra,2,1238.0,2.0,67.0
Super built-up  Area,1.0,Vittasandra,2,1404.0,2.0,75.0
Super built-up  Area,1.0,Vittasandra,2,1246.0,2.0,65.0
Super built-up  Area,1.0,Vittasandra,2,1246.0,2.0,67.4
Super built-up  Area,1.0,Vittasandra,2,1259.0,2.0,67.4
Super built-up  Area,1.0,Vittasandra,2,1404.0,2.0,68.8
Super built-up  Area,1.0,Vittasandra,2,1246.0,2.0,62.3
Super built-up  Area,1.0,Vittasandra,2,1246.0,2.0,63.0
Super built-up  Area,1.0,Vittasandra,2,1246.0,2.0,65.4
Super built-up  Area,1.0,Vittasandra,2,1238.0,2.0,67.32
Super built-up  Area,2.0,Vittasandra,2,1404.0,2.0,70.0
Super built-up  Area,1.0,Vittasandra,2,1259.0,2.0,67.48
Super built-up  Area,1.0,Vittasandra,2,1404.0,2.0,72.0
Super built-up  Area,1.0,Vittasandra,2,1246.0,2.0,67.5
Super built-up  Area,1.0,Vittasandra,2,1404.0,2.0,70.0
Super built-up  Area,1.0,Vittasandra,2,1404.0,2.0,67.5
Built-up  Area,2.0,Whitefield,3,1610.0,3.0,81.0
Super built-up  Area,1.0,Whitefield,2,1459.0,2.0,94.82
Super built-up  Area,2.0,Whitefield,2,1280.0,2.0,75.0
Super built-up  Area,2.0,Whitefield,3,1910.0,3.0,161.0
Super built-up  Area,1.0,Whitefield,4,3252.0,4.0,230.0
Plot  Area,3.0,Whitefield,4,11890.0,4.0,700.0
Super built-up  Area,1.0,Whitefield,2,1150.0,2.0,70.0
Built-up  Area,2.0,Whitefield,3,1768.0,3.0,101.0
Built-up  Area,3.0,Whitefield,4,4144.0,4.0,315.0
Super built-up  Area,2.0,Whitefield,4,4104.0,4.0,360.0
Super built-up  Area,3.0,Whitefield,3,1720.0,3.0,100.0
Super built-up  Area,2.0,Whitefield,3,1640.0,4.0,91.0
Super built-up  Area,2.0,Whitefield,3,2280.0,4.0,126.0
Built-up  Area,1.0,Whitefield,2,1447.0,2.0,83.0
Built-up  Area,2.0,Whitefield,3,1897.0,3.0,130.0
Super built-up  Area,1.0,Whitefield,3,2225.0,2.0,125.0
Super built-up  Area,2.0,Whitefield,4,2268.0,3.0,163.0
Plot  Area,3.0,Whitefield,4,2400.0,4.0,200.0
Super built-up  Area,1.0,Whitefield,2,1360.0,2.0,95.0
Super built-up  Area,2.0,Whitefield,3,1697.0,3.0,94.79
Plot  Area,3.0,Whitefield,4,5000.0,4.0,400.0
Plot  Area,3.0,Whitefield,4,3000.0,5.0,250.0
Built-up  Area,2.0,Whitefield,3,1700.0,3.0,115.0
Built-up  Area,2.0,Whitefield,3,2842.0,3.0,162.0
Plot  Area,1.0,Whitefield,3,1500.0,3.0,130.0
Super built-up  Area,1.0,Whitefield,2,1280.0,2.0,75.0
Super built-up  Area,1.0,Whitefield,3,1405.0,2.0,78.0
Super built-up  Area,3.0,Whitefield,3,2225.0,3.0,115.0
Super built-up  Area,1.0,Whitefield,2,1272.0,2.0,95.05
Built-up  Area,1.0,Whitefield,2,1192.0,2.0,71.0
Super built-up  Area,3.0,Whitefield,3,1626.0,3.0,89.0
Super built-up  Area,2.0,Whitefield,3,1585.0,3.0,88.0
Built-up  Area,0.0,Whitefield,2,1280.0,2.0,85.0
Plot  Area,2.0,Whitefield,3,1200.0,3.0,68.5
Plot  Area,2.0,Whitefield,4,4000.0,4.0,330.0
Super built-up  Area,2.0,Whitefield,3,1697.0,3.0,108.0
Super built-up  Area,2.0,Whitefield,4,3606.0,4.0,312.0
Super built-up  Area,1.0,Whitefield,2,1485.0,2.0,90.0
Super built-up  Area,1.0,Whitefield,1,950.0,1.0,50.0
Super built-up  Area,1.0,Whitefield,1,825.0,1.0,45.0
Super built-up  Area,2.0,Whitefield,3,1635.0,2.0,85.0
Super built-up  Area,1.0,Whitefield,2,1216.0,2.0,79.0
Super built-up  Area,1.0,Whitefield,2,920.0,2.0,63.0
Super built-up  Area,1.0,Whitefield,2,1170.0,2.0,71.0
Super built-up  Area,1.0,Whitefield,2,1118.0,2.0,75.0
Super built-up  Area,2.0,Whitefield,3,1562.0,3.0,103.0
Super built-up  Area,1.0,Whitefield,3,2321.0,4.0,128.0
Super built-up  Area,1.0,Whitefield,2,1320.0,2.0,95.0
Plot  Area,2.0,Whitefield,3,3010.0,3.0,200.0
Super built-up  Area,1.0,Whitefield,2,1346.0,2.0,96.17
Super built-up  Area,3.0,Whitefield,4,2500.0,4.0,155.0
Built-up  Area,1.0,Whitefield,1,905.0,1.0,55.0
Super built-up  Area,0.0,Whitefield,4,2268.0,3.0,146.0
Super built-up  Area,0.0,Whitefield,1,937.0,1.0,32.79
Super built-up  Area,3.0,Whitefield,4,3537.0,5.0,210.0
Super built-up  Area,2.0,Whitefield,3,1697.0,3.0,115.0
Built-up  Area,0.0,Whitefield,5,3250.0,5.0,290.0
Super built-up  Area,1.0,Whitefield,2,1269.0,2.0,75.0
Plot  Area,0.0,Whitefield,5,3227.0,5.0,250.0
Super built-up  Area,2.0,Whitefield,3,1545.0,3.0,79.0
Super built-up  Area,2.0,Whitefield,4,3262.0,4.0,260.0
Super built-up  Area,1.0,Whitefield,2,1132.0,2.0,79.28
Super built-up  Area,2.0,Whitefield,4,2830.0,5.0,160.0
Super built-up  Area,1.0,Whitefield,2,1195.0,2.0,70.0
Super built-up  Area,2.0,Whitefield,2,1250.0,2.0,72.0
Super built-up  Area,0.0,Whitefield,1,971.0,1.0,34.385
Super built-up  Area,1.0,Whitefield,2,1340.0,2.0,77.0
Super built-up  Area,3.0,Whitefield,2,1320.0,2.0,79.5
Super built-up  Area,1.0,Whitefield,2,750.0,2.0,52.7
Plot  Area,1.0,Whitefield,3,1200.0,3.0,61.96
Plot  Area,3.0,Whitefield,4,3445.0,5.0,270.0
Super built-up  Area,1.0,Whitefield,3,1700.0,3.0,140.0
Built-up  Area,3.0,Whitefield,4,4827.0,4.0,400.0
Super built-up  Area,2.0,Whitefield,2,1405.0,2.0,84.5
Super built-up  Area,3.0,Whitefield,4,3252.0,4.0,280.0
Super built-up  Area,2.0,Whitefield,2,1150.0,2.0,90.0
Built-up  Area,3.0,Whitefield,4,2400.0,4.0,147.0
Built-up  Area,1.0,Whitefield,1,624.0,1.0,35.0
Super built-up  Area,2.0,Whitefield,3,1700.0,3.0,95.0
Plot  Area,3.0,Whitefield,4,4960.0,4.0,400.0
Built-up  Area,3.0,Whitefield,4,2928.0,4.0,198.0
Super built-up  Area,1.0,Whitefield,2,1216.0,2.0,84.0
Super built-up  Area,1.0,Whitefield,4,2882.0,5.0,204.0
Super built-up  Area,2.0,Whitefield,3,1840.0,3.0,140.0
Super built-up  Area,2.0,Whitefield,3,1778.0,3.0,122.0
Built-up  Area,1.0,Whitefield,2,1400.0,2.0,80.0
Super built-up  Area,1.0,Whitefield,1,650.0,1.0,25.0
Super built-up  Area,3.0,Whitefield,4,2155.0,3.0,125.0
Built-up  Area,1.0,Whitefield,1,905.0,1.0,52.0
Super built-up  Area,1.0,Whitefield,2,1216.0,2.0,75.0
Super built-up  Area,3.0,Whitefield,2,1355.0,2.0,78.0
Super built-up  Area,3.0,Whitefield,2,1255.0,2.0,77.0
Super built-up  Area,1.0,Whitefield,2,1216.0,2.0,73.0
Super built-up  Area,0.0,Whitefield,1,971.0,1.0,34.735
Super built-up  Area,3.0,Whitefield,3,1745.0,3.0,100.0
Built-up  Area,3.0,Whitefield,4,3200.0,4.0,224.0
Super built-up  Area,1.0,Whitefield,1,825.0,1.0,44.9
Super built-up  Area,2.0,Whitefield,3,1870.0,3.0,138.0
Super built-up  Area,2.0,Whitefield,3,1862.0,3.0,125.0
Super built-up  Area,1.0,Whitefield,3,1655.0,3.0,113.0
Super built-up  Area,1.0,Whitefield,1,530.0,1.0,29.44
Super built-up  Area,1.0,Whitefield,1,905.0,1.0,50.0
Super built-up  Area,2.0,Whitefield,3,1600.0,3.0,82.0
Plot  Area,2.0,Whitefield,4,1230.0,4.0,80.0
Super built-up  Area,0.0,Whitefield,1,937.0,1.0,32.15
Built-up  Area,1.0,Whitefield,1,905.0,1.0,52.0
Super built-up  Area,1.0,Whitefield,2,1216.0,2.0,83.0
Super built-up  Area,3.0,Whitefield,4,4075.0,5.0,226.0
Super built-up  Area,1.0,Whitefield,1,750.0,1.0,51.0
Super built-up  Area,1.0,Whitefield,2,1173.0,2.0,77.0
Plot  Area,1.0,Whitefield,3,1200.0,3.0,68.4
Built-up  Area,2.0,Whitefield,4,3425.0,5.0,250.0
Super built-up  Area,2.0,Whitefield,3,2173.0,3.0,128.0
Super built-up  Area,1.0,Whitefield,1,905.0,1.0,62.0
Super built-up  Area,1.0,Whitefield,2,1320.0,2.0,99.26
Super built-up  Area,2.0,Whitefield,3,2901.0,4.0,190.0
Super built-up  Area,1.0,Whitefield,2,1485.0,2.0,96.51
Super built-up  Area,3.0,Whitefield,3,1755.0,3.0,101.0
Super built-up  Area,1.0,Whitefield,3,2225.0,3.0,149.0
Super built-up  Area,2.0,Whitefield,2,1250.0,2.0,82.0
Super built-up  Area,1.0,Whitefield,1,605.0,1.0,40.0
Built-up  Area,2.0,Whitefield,3,2210.0,3.0,156.0
Super built-up  Area,1.0,Whitefield,2,1173.0,2.0,78.2
Super built-up  Area,3.0,Whitefield,3,1740.0,4.0,130.0
Super built-up  Area,3.0,Whitefield,3,1655.0,3.0,120.0
Super built-up  Area,2.0,Whitefield,2,1180.0,2.0,70.0
Super built-up  Area,2.0,Whitefield,3,2023.0,4.0,130.0
Super built-up  Area,2.0,Whitefield,3,2134.0,4.0,118.0
Super built-up  Area,1.0,Whitefield,1,905.0,1.0,60.0
Built-up  Area,0.0,Whitefield,4,2850.0,5.0,240.0
Super built-up  Area,3.0,Whitefield,4,2830.0,5.0,190.0
Super built-up  Area,3.0,Whitefield,2,1295.0,2.0,78.5
Super built-up  Area,1.0,Whitefield,1,840.0,1.0,57.6
Built-up  Area,2.0,Whitefield,3,1991.0,3.0,104.0
Built-up  Area,2.0,Whitefield,3,1655.0,3.0,97.0
Super built-up  Area,2.0,Whitefield,3,1850.0,3.0,150.0
Plot  Area,1.0,Whitefield,3,1200.0,3.0,67.77
Built-up  Area,0.0,Whitefield,2,1290.0,2.0,90.0
Super built-up  Area,1.0,Whitefield,2,1356.0,2.0,94.84
Super built-up  Area,1.0,Whitefield,2,1338.0,2.0,103.0
Plot  Area,2.0,Whitefield,3,3450.0,4.0,208.0
Super built-up  Area,1.0,Whitefield,2,1267.0,2.0,90.33
Plot  Area,1.0,Whitefield,4,2400.0,4.0,143.0
Super built-up  Area,2.0,Whitefield,3,1836.0,3.0,125.0
Super built-up  Area,1.0,Whitefield,3,3596.0,3.0,200.0
Built-up  Area,3.0,Whitefield,3,1275.0,2.0,65.0
Super built-up  Area,1.0,Whitefield,2,1216.0,2.0,82.0
Super built-up  Area,3.0,Whitefield,2,1495.0,3.0,88.0
Super built-up  Area,1.0,Whitefield,3,1564.0,3.0,103.0
Super built-up  Area,1.0,Whitefield,3,1585.0,3.0,84.0
Built-up  Area,2.0,Whitefield,3,1558.0,3.0,90.0
Super built-up  Area,2.0,Whitefield,2,1227.0,2.0,70.0
Super built-up  Area,1.0,Whitefield,3,1704.0,3.0,120.0
Super built-up  Area,2.0,Whitefield,2,1300.0,2.0,78.0
Super built-up  Area,3.0,Whitefield,3,1570.0,3.0,88.0
Super built-up  Area,1.0,Whitefield,2,1216.0,2.0,84.03
Super built-up  Area,1.0,Whitefield,2,1216.0,2.0,72.5
Super built-up  Area,2.0,Whitefield,3,2025.0,4.0,115.0
Super built-up  Area,1.0,Whitefield,3,1346.0,2.0,100.0
Plot  Area,2.0,Whitefield,4,2990.0,3.0,198.0
Super built-up  Area,3.0,Whitefield,3,1720.0,3.0,98.97
Super built-up  Area,2.0,Whitefield,3,1600.0,3.0,95.0
Super built-up  Area,1.0,Whitefield,3,1655.0,3.0,108.0
Super built-up  Area,2.0,Whitefield,3,1740.0,3.0,95.0
Super built-up  Area,1.0,Whitefield,2,1350.0,2.0,88.0
Super built-up  Area,1.0,Whitefield,2,1216.0,2.0,80.0
Plot  Area,3.0,Whitefield,4,2900.0,4.0,225.0
Super built-up  Area,1.0,Whitefield,2,1340.0,2.0,101.0
Plot  Area,1.0,Whitefield,3,1500.0,3.0,78.57
Super built-up  Area,3.0,Whitefield,3,1626.0,3.0,85.0
Super built-up  Area,2.0,Whitefield,2,1100.0,2.0,65.0
Built-up  Area,2.0,Whitefield,3,1270.0,2.0,65.0
Built-up  Area,2.0,Whitefield,3,3117.0,3.0,261.0
Built-up  Area,1.0,Whitefield,3,3150.0,3.0,290.0
Plot  Area,3.0,Whitefield,4,3940.0,5.0,265.0
Super built-up  Area,1.0,Whitefield,2,1160.0,2.0,67.0
Super built-up  Area,1.0,Whitefield,2,1180.0,2.0,77.0
Super built-up  Area,2.0,Whitefield,3,2140.0,3.0,139.0
Super built-up  Area,1.0,Whitefield,2,1314.0,2.0,84.0
Super built-up  Area,1.0,Whitefield,2,1012.0,2.0,58.0
Super built-up  Area,2.0,Whitefield,3,1431.0,3.0,85.0
Super built-up  Area,1.0,Whitefield,1,524.0,1.0,29.0
Built-up  Area,3.0,Whitefield,4,2830.0,4.0,161.0
Super built-up  Area,2.0,Whitefield,4,2135.0,3.0,149.0
Super built-up  Area,3.0,Whitefield,4,3075.0,2.0,188.0
Super built-up  Area,2.0,Whitefield,3,1760.0,3.0,160.0
Super built-up  Area,2.0,Whitefield,3,1655.0,3.0,110.0
Super built-up  Area,1.0,Whitefield,1,840.0,1.0,57.0
Super built-up  Area,2.0,Whitefield,3,1725.0,3.0,106.0
Super built-up  Area,1.0,Whitefield,1,516.0,1.0,39.0
Super built-up  Area,2.0,Whitefield,3,1639.0,3.0,107.0
Built-up  Area,2.0,Whitefield,3,1820.0,3.0,113.0
Built-up  Area,0.0,Whitefield,4,3565.0,4.0,218.0
Super built-up  Area,3.0,Whitefield,4,3410.0,5.0,253.0
Super built-up  Area,2.0,Whitefield,2,1250.0,2.0,85.0
Super built-up  Area,1.0,Whitefield,2,1277.0,2.0,77.0
Super built-up  Area,2.0,Whitefield,3,1820.0,3.0,140.0
Built-up  Area,2.0,Whitefield,4,3453.0,4.0,247.0
Super built-up  Area,2.0,Whitefield,3,2280.0,4.0,125.0
Super built-up  Area,1.0,Whitefield,4,2882.0,5.0,200.0
Super built-up  Area,1.0,Whitefield,2,1190.0,2.0,70.0
Super built-up  Area,1.0,Whitefield,2,1270.0,2.0,94.0
Super built-up  Area,1.0,Whitefield,2,1220.0,2.0,89.0
Super built-up  Area,1.0,Whitefield,3,3758.0,3.0,300.0
Built-up  Area,1.0,Whitefield,2,1216.0,2.0,72.0
Plot  Area,3.0,Whitefield,4,5400.0,5.0,475.0
Super built-up  Area,1.0,Whitefield,3,1396.0,3.0,74.0
Built-up  Area,0.0,Whitefield,3,1615.0,3.0,96.9
Super built-up  Area,3.0,Whitefield,2,1200.0,2.0,70.0
Super built-up  Area,1.0,Whitefield,3,2321.0,4.0,157.0
Super built-up  Area,2.0,Whitefield,2,1224.0,2.0,75.0
Super built-up  Area,2.0,Whitefield,3,1655.0,3.0,113.0
Built-up  Area,1.0,Whitefield,5,4144.0,5.0,331.0
Plot  Area,2.0,Whitefield,3,1200.0,3.0,67.75
Built-up  Area,1.0,Whitefield,2,1270.0,2.0,110.0
Super built-up  Area,1.0,Whitefield,3,1660.0,3.0,110.0
Super built-up  Area,1.0,Whitefield,2,1270.0,2.0,105.0
Super built-up  Area,3.0,Whitefield,2,1362.0,2.0,85.0
Super built-up  Area,2.0,Whitefield,3,1457.0,2.0,105.0
Super built-up  Area,2.0,Whitefield,3,1720.0,3.0,128.0
Super built-up  Area,2.0,Whitefield,3,1760.0,3.0,139.0
Super built-up  Area,1.0,Whitefield,1,613.0,1.0,48.0
Super built-up  Area,2.0,Whitefield,3,1730.0,3.0,125.0
Super built-up  Area,1.0,Whitefield,1,877.0,1.0,59.0
Built-up  Area,0.0,Whitefield,5,3453.0,4.0,231.0
Super built-up  Area,3.0,Yelachenahalli,3,1464.0,2.0,105.0
Super built-up  Area,1.0,Yelachenahalli,2,2400.0,1.0,150.0
Super built-up  Area,2.0,Yelachenahalli,3,1700.0,3.0,130.0
Super built-up  Area,2.0,Yelachenahalli,2,1130.0,2.0,40.0
Super built-up  Area,2.0,Yelachenahalli,2,1080.0,2.0,55.0
Super built-up  Area,3.0,Yelachenahalli,2,1400.0,2.0,78.0
Super built-up  Area,2.0,Yelachenahalli,2,1080.0,2.0,38.0
Super built-up  Area,3.0,Yelachenahalli,3,1330.0,3.0,73.5
Super built-up  Area,1.0,Yelachenahalli,2,800.0,1.0,30.0
Super built-up  Area,2.0,Yelachenahalli,2,1100.0,2.0,60.0
Super built-up  Area,1.0,Yelachenahalli,3,1365.0,2.0,72.0
Built-up  Area,2.0,Yelachenahalli,2,1103.0,2.0,55.0
Super built-up  Area,2.0,Yelachenahalli,2,1000.0,2.0,50.0
Super built-up  Area,0.0,Yelahanka,4,3525.0,4.0,186.0
Super built-up  Area,2.0,Yelahanka,2,1326.0,2.0,78.0
Super built-up  Area,2.0,Yelahanka,3,1705.0,3.0,95.0
Super built-up  Area,2.0,Yelahanka,2,1234.0,2.0,80.0
Super built-up  Area,2.0,Yelahanka,2,1315.0,2.0,85.0
Super built-up  Area,1.0,Yelahanka,2,1170.0,2.0,62.5
Super built-up  Area,0.0,Yelahanka,1,697.0,1.0,45.0
Built-up  Area,2.0,Yelahanka,3,2195.0,4.0,127.0
Super built-up  Area,2.0,Yelahanka,3,1614.0,3.0,95.0
Super built-up  Area,1.0,Yelahanka,1,628.0,1.0,24.0
Super built-up  Area,1.0,Yelahanka,1,654.0,1.0,38.4
Super built-up  Area,1.0,Yelahanka,3,1825.0,3.0,105.0
Super built-up  Area,2.0,Yelahanka,3,1603.0,3.0,96.0
Super built-up  Area,1.0,Yelahanka,2,1304.0,2.0,79.0
Super built-up  Area,2.0,Yelahanka,2,915.0,2.0,48.0
Super built-up  Area,2.0,Yelahanka,3,1517.0,3.0,76.3
Super built-up  Area,3.0,Yelahanka,2,1327.0,2.0,85.0
Super built-up  Area,2.0,Yelahanka,3,1566.0,3.0,97.0
Super built-up  Area,2.0,Yelahanka,2,1270.0,2.0,78.0
Super built-up  Area,2.0,Yelahanka,3,1400.0,2.0,80.54
Super built-up  Area,2.0,Yelahanka,2,1322.0,2.0,86.0
Super built-up  Area,1.0,Yelahanka,2,1100.0,2.0,70.0
Plot  Area,1.0,Yelahanka,2,1200.0,2.0,70.0
Built-up  Area,2.0,Yelahanka,5,4000.0,5.0,220.0
Plot  Area,2.0,Yelahanka,4,2675.0,4.0,140.0
Super built-up  Area,1.0,Yelahanka,1,654.0,1.0,37.0
Built-up  Area,2.0,Yelahanka,3,1465.0,3.0,80.01
Super built-up  Area,2.0,Yelahanka,3,1692.0,3.0,83.0
Super built-up  Area,3.0,Yelahanka,3,2145.0,3.0,125.0
Super built-up  Area,2.0,Yelahanka,2,1322.0,2.0,75.0
Super built-up  Area,1.0,Yelahanka,1,602.0,1.0,26.0
Super built-up  Area,1.0,Yelahanka,2,1100.0,2.0,60.0
Super built-up  Area,1.0,Yelahanka,3,1614.0,2.0,100.0
Super built-up  Area,2.0,Yelahanka,3,1890.0,3.0,108.0
Super built-up  Area,2.0,Yelahanka,3,1556.0,3.0,86.0
Super built-up  Area,2.0,Yelahanka,3,1610.0,4.0,85.0
Super built-up  Area,1.0,Yelahanka,3,1859.0,3.0,108.0
Super built-up  Area,2.0,Yelahanka,2,1322.0,2.0,80.0
Super built-up  Area,3.0,Yelahanka,4,2600.0,4.0,175.0
Super built-up  Area,1.0,Yelahanka,2,1305.0,2.0,78.0
Super built-up  Area,3.0,Yelahanka,3,1711.0,3.0,85.61
Built-up  Area,3.0,Yelahanka,2,1315.0,2.0,75.0
Built-up  Area,1.0,Yelahanka,6,3600.0,6.0,200.0
Built-up  Area,3.0,Yelahanka,3,1650.0,3.0,105.0
Built-up  Area,1.0,Yelahanka,4,3990.0,4.0,260.0
Built-up  Area,2.0,Yelahanka,3,1620.0,3.0,90.0
Super built-up  Area,1.0,Yelahanka,1,654.0,1.0,36.25
Super built-up  Area,2.0,Yelahanka,3,1614.0,3.0,93.0
Super built-up  Area,0.0,Yelahanka,1,694.0,1.0,30.84
Super built-up  Area,2.0,Yelahanka,2,1115.0,2.0,60.0
Super built-up  Area,3.0,Yelahanka,3,2317.0,4.0,140.0
Super built-up  Area,3.0,Yelahanka,3,1653.0,3.0,93.0
Super built-up  Area,1.0,Yelahanka,1,654.0,1.0,38.0
Super built-up  Area,2.0,Yelahanka,2,1445.0,2.0,82.0
Super built-up  Area,1.0,Yelahanka,1,602.0,1.0,38.0
Super built-up  Area,1.0,Yelahanka,1,697.0,1.0,35.0
Super built-up  Area,1.0,Yelahanka,1,682.0,1.0,36.23
Built-up  Area,2.0,Yelahanka,3,1560.0,2.0,98.0
Super built-up  Area,2.0,Yelahanka,3,1780.0,3.0,107.0
Built-up  Area,2.0,Yelahanka,3,1342.0,2.0,75.0
Super built-up  Area,2.0,Yelahanka,3,1823.0,3.0,103.0
Super built-up  Area,1.0,Yelahanka,3,1792.0,3.0,104.0
Super built-up  Area,1.0,Yelahanka,2,1304.0,2.0,69.97
Super built-up  Area,2.0,Yelahanka,2,1300.0,2.0,69.23
Super built-up  Area,1.0,Yelahanka,3,1705.0,3.0,91.0
Super built-up  Area,1.0,Yelahanka,3,1835.0,3.0,108.0
Built-up  Area,3.0,Yelahanka,3,1847.0,3.0,92.0
Super built-up  Area,2.0,Yelahanka,3,1890.0,3.0,109.0
Super built-up  Area,1.0,Yelahanka,1,700.0,1.0,38.0
Super built-up  Area,2.0,Yelahanka,3,1491.0,3.0,85.0
Built-up  Area,0.0,Yelahanka,4,2088.0,5.0,110.0
Super built-up  Area,3.0,Yelahanka,3,1600.0,3.0,100.0
Super built-up  Area,2.0,Yelahanka,3,1705.0,3.0,85.0
Built-up  Area,3.0,Yelahanka,3,1350.0,2.0,85.0
Built-up  Area,2.0,Yelahanka,3,1633.0,3.0,110.0
Super built-up  Area,0.0,Yelahanka,1,1142.0,1.0,42.535
Super built-up  Area,3.0,Yelahanka,3,1355.0,2.0,75.0
Super built-up  Area,2.0,Yelahanka,2,1104.0,2.0,58.0
Super built-up  Area,1.0,Yelahanka,2,1175.0,2.0,67.77
Super built-up  Area,1.0,Yelahanka,2,1322.0,2.0,77.9
Built-up  Area,1.0,Yelahanka,1,602.0,1.0,33.0
Super built-up  Area,3.0,Yelahanka,2,1315.0,2.0,77.0
Built-up  Area,1.0,Yelahanka,1,567.0,1.0,25.0
Super built-up  Area,1.0,Yelahanka,1,602.0,2.0,30.0
Super built-up  Area,1.0,Yelahanka,2,1267.0,3.0,78.0
Super built-up  Area,1.0,Yelahanka,2,1360.0,2.0,78.19
Built-up  Area,2.0,Yelahanka New Town,1,650.0,1.0,33.0
Super built-up  Area,1.0,Yelahanka New Town,1,500.0,1.0,20.0
